timestamp_utc,context_time,message_item_uri,message_set,message_client_platform,message_item_uri_kind,month,day_of_week,season,is_weekend,time_of_day
2024-09-24 22:02:13.826000+00:00,1727215333826,spotify:track:7w5AOd6HrDIHewHfpABEss,collection,,,9,Tuesday,Autumn,False,Night
2024-12-05 23:37:27.775000+00:00,1733441847775,spotify:track:0ePdvQb4qFBA9Ps1QZwhMu,collection,,,12,Thursday,Winter,False,Night
2024-10-22 18:38:54.289000+00:00,1729622334289,spotify:track:7sO5G9EABYOXQKNPNiE9NR,collection,,,10,Tuesday,Autumn,False,Evening
2024-08-31 17:12:35.959000+00:00,1725124355959,spotify:track:70L5iXSsVzmrBL9bAqbFKJ,collection,,,8,Saturday,Summer,True,Evening
2024-12-06 14:16:37.250000+00:00,1733494597250,spotify:track:5O2P9iiztwhomNh8xkR9lJ,collection,,,12,Friday,Winter,False,Afternoon
2024-08-26 23:14:28.697000+00:00,1724714068697,spotify:track:2cReAv3rE4Q2wMgBzTy4EC,collection,,,8,Monday,Summer,False,Night
2024-10-11 23:32:48.838000+00:00,1728689568838,spotify:track:5mfIBJ0KnaJbnxpRqtbHgL,collection,,,10,Friday,Autumn,False,Night
2024-12-15 11:46:05.965000+00:00,1734263165965,spotify:track:0vsaZl8iVEPbm7YM9prucI,collection,,,12,Sunday,Winter,True,Morning
2024-11-16 04:22:46.959000+00:00,1731730966959,spotify:track:5FVd6KXrgO9B3JPmC8OPst,collection,,,11,Saturday,Autumn,True,Night
2024-11-14 12:51:52.832000+00:00,1731588712832,spotify:track:2cgUEhSKpvcrKuNVeChvgJ,collection,,,11,Thursday,Autumn,False,Afternoon
2024-09-01 22:12:40.076000+00:00,1725228760076,spotify:track:124xdL3i1WaIzI7RYhr5BR,collection,,,9,Sunday,Autumn,True,Night
2024-08-29 22:58:59.462000+00:00,1724972339462,spotify:track:0XlTde59jpJ5tcP8w1biT6,collection,,,8,Thursday,Summer,False,Night
2024-09-11 18:47:00.187000+00:00,1726080420187,spotify:track:4mp4tEYRTGrdHwx67dn5CC,collection,,,9,Wednesday,Autumn,False,Evening
2024-12-08 19:33:02.501000+00:00,1733686382501,spotify:track:416MsJxvxSKY96DCmbJIRs,collection,,,12,Sunday,Winter,True,Evening
2024-11-05 00:27:00.095000+00:00,1730766420095,spotify:track:62zFEHfAYl5kdHYOivj4BC,collection,,,11,Tuesday,Autumn,False,Night
2024-11-22 23:50:19.838000+00:00,1732319419838,spotify:track:1mKXFLRA179hdOWQBwUk9e,collection,,,11,Friday,Autumn,False,Night
2024-10-14 21:44:38.574000+00:00,1728942278574,spotify:track:4wLpDd099QT7TmNpMkFIvT,collection,,,10,Monday,Autumn,False,Night
2024-11-25 17:04:01.963000+00:00,1732554241963,spotify:track:0Ew8AzZt6pU5nCbucrFtLQ,collection,,,11,Monday,Autumn,False,Evening
2024-09-16 22:18:22.321000+00:00,1726525102321,spotify:track:19fvecF3Ewyh8V9nMoLeCp,collection,,,9,Monday,Autumn,False,Night
2024-09-08 17:49:14.523000+00:00,1725817754523,spotify:track:5kbjSnudhjrLuumPTGAzYs,collection,,,9,Sunday,Autumn,True,Evening
2024-09-25 22:50:21.667000+00:00,1727304621667,spotify:track:5RZH849e1ZWa2qeVz6O3mK,collection,,,9,Wednesday,Autumn,False,Night
2024-10-06 23:10:00.461000+00:00,1728256200461,spotify:album:0sHNiGqhNIN96cYg3BX7my,collection,,,10,Sunday,Autumn,True,Night
2024-12-13 20:24:08.903000+00:00,1734121448903,spotify:track:15Wl8jVyU8t3tuFJHEFcCw,collection,,,12,Friday,Winter,False,Evening
2024-09-20 22:25:01.480000+00:00,1726871101480,spotify:track:6hmO8JowAQ9SnDLwRrL4yf,collection,,,9,Friday,Autumn,False,Night
2024-09-19 20:52:22.431000+00:00,1726779142431,spotify:track:2A1FGotEDhN5UjBiLsUwnk,collection,,,9,Thursday,Autumn,False,Evening
2024-10-06 01:26:10.231000+00:00,1728177970231,spotify:track:4Q6IKRg4poFjhrcnJH7QAb,collection,,,10,Sunday,Autumn,True,Night
2024-09-08 16:55:38.793000+00:00,1725814538793,spotify:track:4rduqf1iczNLiHm5AnGfyF,collection,,,9,Sunday,Autumn,True,Afternoon
2024-09-22 07:49:08.763000+00:00,1726991348763,spotify:track:28KF83Qxd3raEAEjG1Rj0E,collection,,,9,Sunday,Autumn,True,Morning
2024-09-18 14:01:44.529000+00:00,1726668104529,spotify:track:54hj06Z7sm7DaHSrGGMAZG,collection,,,9,Wednesday,Autumn,False,Afternoon
2024-10-11 14:36:50.773000+00:00,1728657410773,spotify:track:7jQri0CCEkeOGt7fedmmsu,collection,,,10,Friday,Autumn,False,Afternoon
2024-08-27 05:06:03.715000+00:00,1724735163715,spotify:track:5uPDkEcogJLkYIz3KM3Rx4,collection,,,8,Tuesday,Summer,False,Morning
2024-12-15 11:39:08.848000+00:00,1734262748848,spotify:track:6sFYKZFh2MWt8wfppMcQZ3,collection,,,12,Sunday,Winter,True,Morning
2024-12-02 14:58:07.644000+00:00,1733151487644,spotify:track:1Qz7kf49AqoyL9nrTGcJaD,collection,,,12,Monday,Winter,False,Afternoon
2024-11-02 18:50:36.913000+00:00,1730573436913,spotify:album:6wTyGUWGCilBFZ837k5aRi,collection,,,11,Saturday,Autumn,True,Evening
2024-09-27 13:48:50.378000+00:00,1727444930378,spotify:track:1Q05PWOmHJNrVrsWBGZMTt,collection,,,9,Friday,Autumn,False,Afternoon
2024-10-03 22:59:02.181000+00:00,1727996342181,spotify:track:0T5iIrXA4p5GsubkhuBIKV,collection,,,10,Thursday,Autumn,False,Night
2024-10-07 14:57:18.591000+00:00,1728313038591,spotify:track:4Q55vNJjN2mfmwFxhA6aPk,collection,,,10,Monday,Autumn,False,Afternoon
2024-09-20 22:24:55.196000+00:00,1726871095196,spotify:track:74juH9lwBLYeSjHGXTBdlF,collection,,,9,Friday,Autumn,False,Night
2024-12-06 14:16:33.682000+00:00,1733494593682,spotify:track:0FZgBleWnbknOxEjn2T45q,collection,,,12,Friday,Winter,False,Afternoon
2024-09-24 16:22:39.844000+00:00,1727194959844,spotify:track:2JjkC4td4Ku43Dz1SmHkW0,collection,,,9,Tuesday,Autumn,False,Afternoon
2024-11-09 17:09:57.730000+00:00,1731172197730,spotify:track:06AMpcajziFnEKniV25fiU,collection,,,11,Saturday,Autumn,True,Evening
2024-10-10 21:04:50.030000+00:00,1728594290030,spotify:album:5ABVGZE1Ykvy6n0MrWWWww,collection,,,10,Thursday,Autumn,False,Night
2024-12-01 19:13:39.841000+00:00,1733080419841,spotify:track:0iMt8ZMe2BsNvsF9LFDOAn,collection,,,12,Sunday,Winter,True,Evening
2024-11-25 19:25:21.384000+00:00,1732562721384,spotify:track:1aRABBOEWL5ArSWcNdFnOv,collection,,,11,Monday,Autumn,False,Evening
2024-09-14 13:38:40.279000+00:00,1726321120279,spotify:track:6CfV1aD4lLlE6srS0GYVD7,collection,,,9,Saturday,Autumn,True,Afternoon
2024-11-07 15:30:54.829000+00:00,1730993454829,spotify:track:1aXFBWnnPFRKUN7vuIA5h0,collection,,,11,Thursday,Autumn,False,Afternoon
2024-10-09 01:36:46.292000+00:00,1728437806292,spotify:track:6bCnnsQcLf9dlKp6YPn4tG,collection,,,10,Wednesday,Autumn,False,Night
2024-09-08 18:25:13.090000+00:00,1725819913090,spotify:track:2UrOzJAbJj3GfIonnNVXez,collection,,,9,Sunday,Autumn,True,Evening
